lineNumber,description
001,Bến Thành - Bến Xe buýt Chợ Lớn
003,Bến Thành - Thạnh Lộc
004,Bến Thành - Cộng Hòa - Bến Xe An Sương
006,Bến Xe Buýt Chợ Lớn- Đại học Nông Lâm
007,Bến Xe Buýt Chợ Lớn- Gò vấp
008,Bến Xe Buýt Quận 8- Đại học Quốc Gia
009,Bến Xe Buýt Chợ Lớn - Bình Chánh - Hưng Long
010,Đại học Quốc Gia- Bến xe Miền Tây
014,Bến xe Miền Đông - 3/2 - Bến xe Miền Tây
015,Chợ Phú Định - Đầm Sen
016,Bến xe buýt Chợ Lớn - Bến xe buýt Tân Phú
018,Bến Thành - Chợ Hiệp Thành
019,Bến Thành - Khu Chế Xuất Linh Trung - Đại Học Quốc Gia
020,Bến Thành - Nhà Bè
022,Bến Xe buýt Quận 8 - Khu công nghiệp Lê Minh Xuân
023,Bến xe buýt Chợ Lớn - Ngã 3 Giồng - Cầu Lớn
024,Bến Xe Miền Đông - Hóc Môn
025,Bến Xe buýt Quận 8 - Khu dân cư Vĩnh Lộc A
027,Bến xe buýt Sài Gòn - Âu Cơ - Bến xe An Sương
028,Bến xe buýt Sài Gòn - Chợ Xuân Thới Thượng
029,Phà Cát Lái - Chợ nông sản Thủ Đức
030,Chợ Tân Hương - Đại học Quốc tế
031,Đại Học Tôn Đức Thắng - Bến Thành - Đại Học Văn Lang
032,Bến Xe Miền Tây - Bến Xe Ngã Tư Ga
033,Bến Xe An Sương - Suối Tiên - Đại học Quốc Gia
034,Bến xe buýt Sài Gòn - Bến xe buýt Quận 8
036,Bến Thành - Thới An
038,Khu dân cư Tân Quy - Bến Thành - Đầm Sen
039,Bến Xe Buýt Sài Gòn - Võ Văn Kiệt - Bến Xe Miền Tây
041,Bến xe Miền Tây- Ngã tư Bốn xã- Bến xe An Sương
043,Bến xe Miền Đông - Phà Cát Lái
044,Cảng Quận 4 - Bình Quới
045,Bến xe buýt Quận 8 - Bến Thành - Bến xe Miền Đông
046,Công viên Tôn Thất Thuyết - Bến Mễ Cốc
047,Bến xe buýt Chợ Lớn - Quốc lộ 50 - Hưng Long
048,Bến xe buýt Tân Phú - Chợ Hiệp Thành
050,Đại học Bách khoa - Đại học Quốc gia
052,Bến Thành - Đại học Quốc tế
053,Lê Hồng Phong - Đại học Quốc gia
055,Công viên phần mềm Quang Trung - Bến xe Miền Đông mới
056,Bến xe buýt Chợ Lớn - Đại học Giao thông Vận tải
057,Chợ Phước Bình - Trường Trung học Phổ thông Hiệp Bình
058,Bến xe Ngã tư Ga - Khu công nghiệp Đông Nam
059,Bến xe buýt Quận 8 - Bến xe Ngã 4 Ga
061,Bến xe buýt Chợ Lớn - Khu công nghiệp Lê Minh Xuân
062,Bến xe buýt Quận 8 -Thới An
064,Bến xe Miền Đông - Đầm Sen
065,Bến Thành - Cách Mạng Tháng 8 - Bến xe An Sương
068,Bến xe buýt Chợ Lớn - Đại học Tài Chính - Marketing
069,Bến xe buýt Sài Gòn - Khu dân cư Vĩnh Lộc
070,Tân Quy - Bến Súc
071,Bến xe An Sương - Phật Cô Đơn
072,Bến xe buýt Sài Gòn - Hiệp Phước
073,Chợ Bình Chánh - Khu công nghiệp Lê Minh Xuân
074,Bến xe An Sương - Bến xe Củ Chi
076,Long Phước - Suối Tiên - Bến xe Miền Đông mới
077,Đồng Hòa - Cần Thạnh
078,Bến xe buýt Thới An - Ngã Ba Giồng - Cầu Lớn
079,Bến xe Củ Chi - Đền Bến Dược
081,Bến xe buýt Chợ Lớn - Lê Minh Xuân
084,Bến xe buýt Chợ Lớn - Tân Túc
085,Bến xe An Sương- Khu công nghiệp Nhị Xuân
086,Bến Thành - Đại học Tôn Đức Thắng - Cầu Long Kiểng
087,Bến xe Củ Chi - An Nhơn Tây
088,Bến Thành - Chợ Long Phước
089,Đại học Nông Lâm - Bến Tàu Hiệp Bình Chánh
090,Phà Bình Khánh - Cần Thạnh
091,Bến xe Miền Tây - Chợ nông sản Thủ Đức
093,Bến Thành - Bến xe Miền Đông mới
099,Chợ Thạnh Mỹ Lợi - Đại học Quốc gia
100,Bến Xe Củ Chi - Cầu Tân Thái
101,Bến Xe Buýt Chợ Lớn - Chợ Tân Nhựt
102,Bến Xe Buýt Sài Gòn - Nguyễn Văn Linh - Bến xe Miền Tây
103,Bến Xe Buýt Chợ Lớn - Bến xe Ngã 4 Ga
104,Bến xe An Sương - Đại học Nông Lâm
107,Bến xe Củ Chi - Bố Heo
110,Hiệp Phước - Phước Lộc
122,Bến xe An Sương - Tân Quy
126,Bến xe Củ Chi - Bình Mỹ
127,An Thới Đông - Ngã ba Bà Xán
128,Tân Điền - An Nghĩa
139,Bến xe Miền Tây - Khu Tái Định Cư Phú Mỹ
140,Bến Xe Buýt Sài Gòn - Phạm Thế Hiển - Khu Dân Cư Phú Lợi
141,Khu du lịch BCR - Long Trường - Khu chế xuất Linh Trung II
145,Bến Xe Buýt Chợ Lớn - Chợ Hiệp Thành
146,Bến Xe Miền Đông - Chợ Hiệp Thành
148,Bến xe Miền Tây - Gò Vấp
150,Bến xe buýt Chợ Lớn - Ngã 3 Tân Vạn
151,Bến xe Miền Tây - Bến xe An Sương
152,Khu dân cư Trung Sơn - Bến Thành - Sân bay Tân Sơn Nhất